##############################################
# inputfile: example_inputfile.ld
# window-size: 5000bp
# minimum no. of marker-pairs: 40
# Fri Dec 17 17:23:43 2021
##############################################

chr	start	end	R-squared	D-prime	mrk-pairs
SUPER_29	35000	39999	0.210058064888889	0.909922222222222	45
SUPER_29	40000	44999	0.140108761489474	0.796495466842105	190
SUPER_29	50000	54999	0.166137602098901	0.792942981318681	91
SUPER_29	80000	84999	0.0878397444093961	0.72664671409396	298
SUPER_29	85000	89999	0.0957394042714287	0.735097296190476	210
SUPER_29	90000	94999	0.0597328882654546	0.705101270181818	275
SUPER_29	100000	104999	0.0882433594848485	0.72519291969697	66
SUPER_29	105000	109999	0.0919881368667411	0.723110846696529	893
SUPER_29	110000	114999	0.070672084802553	0.746206432170213	1175
SUPER_29	115000	119999	0.08126981365	0.6913207275	120
SUPER_29	120000	124999	0.0531901262352942	0.758204057058824	170
SUPER_29	125000	129999	0.067537484	0.715622110476191	105
SUPER_29	150000	154999	0.0846438587205883	0.803911790441177	136
SUPER_29	155000	159999	0.0742833321282051	0.720006397435897	78
SUPER_29	160000	164999	0.0835689106324787	0.722976719088319	351
SUPER_29	165000	169999	0.0661484309766082	0.696183832163743	171
SUPER_29	170000	174999	0.0805310025904762	0.677168088571429	105
SUPER_29	175000	179999	0.0704715707513227	0.76093415	378
SUPER_29	180000	184999	0.0683805745128206	0.768828467032967	273
SUPER_29	185000	189999	0.0574891684242424	0.672574075757576	66
SUPER_29	190000	194999	0.0772168208386167	0.730455568587897	347
SUPER_29	195000	199999	0.0727977114755243	0.768998167482516	858
SUPER_29	200000	204999	0.0602595412928475	0.691914039271255	741
SUPER_29	205000	209999	0.066261292710145	0.703750752173913	276
SUPER_29	210000	214999	0.0871951741846154	0.739721627692308	325
SUPER_29	215000	219999	0.0851365004673913	0.782722551449276	276
SUPER_29	220000	224999	0.0828443275833334	0.656982054166666	120
SUPER_29	225000	229999	0.0574079194428571	0.676240353333333	210
SUPER_29	230000	234999	0.0571545412418301	0.681988251111111	153
SUPER_29	235000	239999	0.0597511914662163	0.639677644256756	592
SUPER_29	240000	244999	0.0768196781011236	0.714752482022472	89
SUPER_29	250000	254999	0.0713702337122507	0.726149005698006	351
SUPER_29	260000	264999	0.06582803245	0.640362816829268	820
SUPER_29	265000	269999	0.0738797346973979	0.768345370135747	1768
SUPER_29	270000	274999	0.0609144379109476	0.716801093137254	1224
SUPER_29	275000	279999	0.0701283989672831	0.777507618492176	703
SUPER_29	280000	284999	0.066588854525	0.565896441666667	120
SUPER_29	285000	289999	0.0728868201485715	0.752641800285715	350
SUPER_29	290000	294999	0.0928520282770562	0.793482413852814	231
SUPER_29	295000	299999	0.0468129629166667	0.753238731666667	120
SUPER_29	300000	304999	0.0785040172000001	0.742442246666667	105
SUPER_29	305000	309999	0.0741542540649351	0.652911964069264	231
SUPER_29	310000	314999	0.07126223105	0.778378541	300
SUPER_29	315000	319999	0.0685206196298077	0.698787961698717	624
SUPER_29	320000	324999	0.0761287452285715	0.751391832380953	210
SUPER_29	330000	334999	0.06200982634	0.733857513	300
SUPER_29	335000	339999	0.0767615046143791	0.77023458627451	153
SUPER_29	340000	344999	0.062683138952381	0.652671748571429	105
SUPER_29	345000	349999	0.0730094030198598	0.715414701518692	856
SUPER_29	350000	354999	0.0673495329914746	0.760902537936914	1173
SUPER_29	355000	359999	0.0760987189756098	0.677873426463415	820
SUPER_29	360000	364999	0.10707391952381	0.755306193333333	105
SUPER_29	365000	369999	0.0754194240105264	0.789232402631579	190
SUPER_29	370000	374999	0.0661698525476924	0.697778250153846	325
SUPER_29	375000	379999	0.0612747890113961	0.714106343304843	351
SUPER_29	380000	384999	0.0694600008280423	0.717389606349207	378
SUPER_29	385000	389999	0.0627821857352942	0.662517341764706	136
SUPER_29	390000	394999	0.0552640107411765	0.686875828067227	595
SUPER_29	400000	404999	0.0702713856457565	0.776502987453875	271
SUPER_29	410000	414999	0.0554573290974479	0.685494443387471	431
SUPER_29	420000	424999	0.0620764144795917	0.707701845116619	1372
SUPER_29	425000	429999	0.0587019963237924	0.702281331932022	1118
SUPER_29	430000	434999	0.0606239330121334	0.683259912841254	989
SUPER_29	435000	439999	0.0623759548666667	0.71566224076923	780
SUPER_29	440000	444999	0.05665981567903	0.775260117118401	701
SUPER_29	445000	449999	0.0572267466712643	0.730737111954023	435
SUPER_29	450000	454999	0.0757217426148649	0.749431222787162	592
SUPER_29	455000	459999	0.0516380683047619	0.655077198095238	105
SUPER_29	460000	464999	0.0585344922807017	0.772255381871345	171
SUPER_29	465000	469999	0.0603480969753265	0.712706183889695	1378
SUPER_29	475000	479999	0.0860929910955882	0.681635147058824	136
SUPER_29	480000	484999	0.0750053087222222	0.803701446428571	252
SUPER_29	485000	489999	0.0659261597802198	0.714557401098901	91
SUPER_29	490000	494999	0.0643121125368421	0.667517300526316	190
SUPER_29	495000	499999	0.0388086224833333	0.82648091	120
SUPER_29	500000	504999	0.0760057383506494	0.802787826406926	231
SUPER_29	505000	509999	0.0657450561688312	0.75857567012987	231
SUPER_29	510000	514999	0.0702884676444444	0.645519615555556	45
SUPER_29	515000	519999	0.0575122031814815	0.780453648518519	270
SUPER_29	520000	524999	0.058909075882353	0.744711120915032	153
SUPER_29	525000	529999	0.064150518789916	0.75685235882353	119
SUPER_29	530000	534999	0.0725079148539325	0.755638671551967	1424
SUPER_29	535000	539999	0.0696555041355617	0.709359006313835	1077
SUPER_29	540000	544999	0.0603886601815743	0.710896862611807	1118
SUPER_29	545000	549999	0.0551246233789474	0.734342786842106	190
SUPER_29	550000	554999	0.0575170033603988	0.71141662051282	702
SUPER_29	555000	559999	0.0633943850380953	0.703260792380952	210
SUPER_29	560000	564999	0.0707851950066667	0.722958100666667	300
SUPER_29	565000	569999	0.0522427649166667	0.712507421376812	276
SUPER_29	570000	574999	0.0610677427	0.687816172631579	190
SUPER_29	575000	579999	0.0532181611908046	0.667763787356322	435
SUPER_29	580000	584999	0.0778092611666667	0.777738137179487	702
SUPER_29	585000	589999	0.0749644061353847	0.819758781230769	325
SUPER_29	590000	594999	0.0617643001572816	0.776289174951456	1030
SUPER_29	595000	599999	0.0752209508354979	0.774604187012987	231
SUPER_29	600000	604999	0.0613562898941685	0.765497995464362	463
SUPER_29	605000	609999	0.0538583259249012	0.766170616996048	253
SUPER_29	610000	614999	0.0648265003955224	0.665800272388059	402
SUPER_29	615000	619999	0.0818992337521739	0.744332233043478	230
SUPER_29	620000	624999	0.0600002529502263	0.758428946304675	663
SUPER_29	625000	629999	0.0660375960030029	0.665650763963963	666
SUPER_29	630000	634999	0.0622440493918919	0.619720939639639	666
SUPER_29	635000	639999	0.0650527623438736	0.652917371936758	253
SUPER_29	640000	644999	0.0652793327619048	0.679301810476191	105
SUPER_29	645000	649999	0.0582742344068966	0.634743784827586	435
SUPER_29	650000	654999	0.0474884871879699	0.763697742857142	133
SUPER_29	660000	664999	0.0864655050736842	0.721272897368421	190
SUPER_29	665000	669999	0.0578672551816817	0.688362288138137	666
SUPER_29	670000	674999	0.071995446952381	0.721790641904762	105
SUPER_29	675000	679999	0.0666909542709678	0.659003788817204	465
