1	156035725	Macro
2	119023421	Macro
3	116801625	Macro
4	76187387	Macro
5	73257097	Macro
6	63258489	Macro
7	38459648	Inter
8	36085389	Inter
9	31262510	Inter
10	25880253	Inter
11	21491857	Inter
12	20890524	Inter
13	20272128	Inter
14	18810845	Micro
15	16541138	Micro
16	15277844	Micro
17	13985943	Micro
18	12073725	Micro
19	11382101	Micro
20	11194341	Micro
21	9617204	Micro
22	7507825	Micro
23	7098401	Micro
24	6843954	Micro
25	6778862	Micro
26	5553549	Micro
27	5236451	Micro
28	5297670	Micro
29	2102120	Micro
30	1648998	Micro
31	1590086	Micro
32	784579	Micro
33	437724	Micro
34	606149	Micro
35	523230	Micro
36	338027	Micro
37	276370	Micro
38	220485	Micro
39	65965	Micro
W	31704074	Inter
Z	90132487	Macro
